"x"
"1" 1
"2" 6
"3" 3
"4" 6
"5" 4
"6" 4
"7" 4
"8" 3
"9" 4
"10" 4
"11" 2
"12" 6
"13" 5
"14" 6
"15" 6
"16" 1
"17" 5
"18" 4
"19" 5
"20" 6
"21" 2
"22" 2
"23" 6
"24" 3
"25" 5
"26" 5
"27" 1
"28" 6
"29" 4
"30" 6
"31" 5
"32" 4
"33" 4
"34" 6
"35" 2
"36" 5
"37" 1
"38" 2
"39" 1
"40" 2
"41" 2
"42" 4
"43" 6
"44" 2
"45" 1
"46" 3
"47" 5
"48" 5
"49" 5
"50" 6
"51" 2
"52" 5
"53" 4
"54" 2
"55" 2
"56" 3
"57" 2
"58" 5
"59" 1
"60" 1
"61" 6
"62" 6
"63" 6
"64" 6
"65" 6
"66" 1
"67" 6
"68" 6
"69" 2
"70" 4
"71" 2
"72" 4
"73" 6
"74" 1
"75" 4
"76" 5
"77" 2
"78" 3
"79" 3
"80" 6
"81" 3
"82" 6
"83" 2
"84" 2
"85" 4
"86" 3
"87" 3
"88" 4
"89" 6
"90" 1
"91" 6
"92" 1
"93" 6
"94" 6
"95" 1
"96" 2
"97" 6
"98" 4
"99" 2
"100" 5
